RF_Power_W,Pressure_mTorr,Gas_Flow_sccm,Electrode_Gap_cm,Etch_Rate_nm_per_min,Uniformity_pct,Selectivity_ratio
287.27,78.24,81.31,1.565,542.89,5.363,8.381
575.36,12.21,32.91,3.284,594.94,11.128,3.747
466.0,11.99,93.73,1.741,741.37,8.027,5.588
399.33,39.12,76.02,2.115,693.34,7.687,5.567
178.01,53.98,141.88,1.875,747.63,4.146,8.715
178.0,79.34,129.04,1.731,599.93,3.844,10.206
129.04,71.5,85.63,4.303,388.74,3.547,7.322
533.09,50.13,59.22,2.143,749.57,8.558,5.114
400.56,34.63,197.85,4.708,1053.07,6.956,5.685
454.04,99.74,101.72,4.88,503.45,7.528,6.675
110.29,48.36,143.89,3.285,649.32,3.651,8.872
584.95,50.62,45.3,1.572,748.37,9.11,4.641
516.22,24.73,107.41,2.498,844.43,8.378,4.66
206.17,81.53,24.96,4.191,163.7,4.661,7.24
190.91,72.43,110.98,2.47,552.99,3.12,10.161
191.7,29.87,193.52,1.348,938.36,4.614,9.827
252.12,17.41,89.16,3.227,513.8,6.491,5.848
362.38,71.24,27.02,4.38,388.79,6.259,6.985
315.97,68.91,25.57,4.184,352.57,6.73,6.34
245.61,34.59,89.84,1.7,591.42,6.235,7.526
405.93,95.58,48.8,3.691,353.17,5.687,6.969
169.75,23.6,24.2,1.882,302.87,6.138,6.697
246.07,48.91,156.12,1.873,842.47,5.522,8.99
283.18,94.93,102.53,4.496,419.14,4.851,8.322
328.03,47.78,72.06,1.999,617.55,6.53,6.692
492.59,67.47,182.01,2.053,1110.46,6.365,6.635
199.84,45.78,40.91,1.003,418.94,6.045,7.436
357.12,34.68,192.07,4.483,977.23,5.999,5.939
396.21,98.56,76.51,4.17,386.41,4.866,7.307
123.23,46.84,179.91,3.509,794.54,4.049,8.567
403.77,90.47,128.53,4.001,651.0,5.501,7.436
185.26,30.7,168.81,1.608,821.92,4.96,9.329
132.53,29.18,197.12,2.833,853.22,3.522,9.536
574.44,12.8,71.91,2.405,740.59,9.585,3.77
582.82,68.65,193.0,1.375,1235.52,7.414,6.871
504.2,43.17,90.11,2.945,822.76,7.228,6.219
252.31,87.79,89.39,4.683,385.4,5.579,8.365
148.84,52.59,81.27,1.16,544.34,4.34,8.688
442.12,97.14,117.45,2.166,620.45,5.253,7.189
320.08,26.7,47.75,1.83,520.59,7.214,6.366
161.02,88.18,119.67,1.953,506.84,3.702,10.383
347.59,79.89,117.51,4.634,638.51,5.563,7.085
117.19,79.38,157.14,2.872,618.37,1.776,10.299
554.66,86.03,170.06,2.865,985.59,6.821,6.803
229.39,78.49,99.28,4.042,505.99,4.656,8.208
431.26,66.36,74.42,1.618,674.19,7.346,5.556
255.86,21.81,66.68,2.949,464.19,6.544,6.279
360.03,12.93,55.03,2.72,482.1,8.732,5.727
373.36,92.88,30.38,3.388,301.25,6.673,6.771
192.43,65.5,81.64,4.998,442.23,4.668,7.769
584.79,81.69,68.64,4.078,649.72,8.791,4.857
487.57,53.34,193.96,2.591,1167.58,6.653,7.042
569.75,20.56,120.39,4.31,884.91,9.601,3.861
547.41,21.27,82.51,1.683,800.67,8.861,4.109
398.95,71.7,124.48,1.122,847.27,6.277,8.534
560.94,48.73,45.06,1.818,717.22,8.845,5.344
144.25,28.05,99.93,2.362,561.58,5.188,7.676
197.99,54.24,132.72,3.042,711.5,4.471,8.707
122.61,15.78,108.0,3.461,485.23,4.027,7.803
