episode,step,temperature_C,pressure_Torr,precursor_flow_sccm,carrier_flow_sccm,rf_power_W,deposition_time_s,current_thickness_nm,film_uniformity_pct,defect_rate_pct,action,reward,next_thickness_nm,done
1,0,727.396,1.1511,60.758,121.842,75.651,14.756,6.089,96.402,1.013,observe,3.339,14.295,False
1,1,729.154,1.1705,60.824,123.533,76.819,14.498,14.295,95.742,1.169,increase_temperature,1.293,22.348,False
1,2,729.055,1.1659,60.143,125.367,76.433,14.37,22.348,96.762,1.123,increase_carrier_flow,4.44,30.046,False
1,3,729.88,1.1767,62.285,124.757,75.152,14.126,30.046,97.087,1.132,increase_precursor_flow,6.193,38.006,False
1,4,728.2,1.1561,62.935,125.872,76.51,13.926,38.006,96.365,1.131,decrease_temperature,6.594,46.091,False
1,5,729.943,1.1617,63.614,125.973,77.233,14.116,46.091,96.038,1.108,increase_temperature,8.709,53.655,False
1,6,728.665,1.1548,65.109,124.675,79.654,13.611,53.655,96.414,1.171,increase_rf_power,13.308,61.663,False
1,7,730.087,1.1746,64.76,123.981,81.799,13.553,61.663,95.592,1.048,increase_rf_power,18.816,69.186,False
1,8,731.082,1.1782,65.451,123.34,82.195,13.741,69.186,96.695,1.091,increase_temperature,30.494,77.018,False
1,9,730.355,1.1686,64.255,124.071,81.022,13.745,77.018,96.684,1.182,decrease_precursor_flow,45.336,85.01,False
1,10,730.158,1.1581,64.175,121.54,77.404,13.348,85.01,96.599,1.084,decrease_rf_power,67.775,92.315,False
1,11,729.402,1.1905,63.819,122.646,75.07,13.286,92.315,96.064,1.215,decrease_rf_power,148.486,99.649,True
1,12,725.948,1.2014,64.057,121.755,71.455,13.308,99.649,96.433,1.116,decrease_rf_power,67.714,107.541,False
1,13,729.151,1.1954,63.033,122.024,72.005,13.716,107.541,96.522,1.274,increase_temperature,43.137,115.471,False
1,14,726.774,1.1794,62.107,121.439,68.563,13.906,115.471,95.209,1.054,decrease_rf_power,27.215,123.361,False
1,15,727.401,1.2004,64.103,125.81,69.599,13.609,123.361,96.32,1.091,increase_carrier_flow,19.997,130.742,False
1,16,726.57,1.1851,63.963,127.409,69.992,13.562,130.0,94.939,1.101,increase_carrier_flow,11.303,137.763,False
1,17,726.462,1.2293,64.093,128.883,68.743,13.206,130.0,95.525,1.325,increase_carrier_flow,10.877,137.568,False
1,18,724.82,1.2502,63.19,130.28,69.706,13.159,130.0,95.599,1.148,decrease_temperature,12.223,137.893,False
1,19,723.91,1.2196,61.912,130.539,73.653,13.207,130.0,96.444,1.144,increase_rf_power,13.871,137.987,False
1,20,724.348,1.2093,63.018,131.182,77.493,13.262,130.0,95.339,1.159,increase_rf_power,11.604,137.882,False
1,21,727.796,1.2048,62.635,133.374,74.725,12.994,130.0,95.89,1.105,increase_temperature,13.324,137.669,False
1,22,727.469,1.2133,64.043,133.51,76.335,12.379,130.0,95.558,1.009,increase_rf_power,13.733,137.367,False
1,23,725.712,1.2049,64.959,131.521,76.412,12.234,130.0,96.887,1.126,decrease_carrier_flow,15.354,137.546,False
1,24,728.387,1.2011,64.263,131.185,77.018,12.287,130.0,96.266,1.135,increase_temperature,14.438,136.968,False
1,25,733.422,1.248,63.409,130.754,73.359,12.109,130.0,96.877,1.182,increase_temperature,15.775,136.324,False
1,26,732.114,1.1943,63.247,129.16,72.036,11.846,130.0,94.87,1.095,decrease_carrier_flow,12.536,136.268,False
1,27,736.372,1.1621,62.15,131.916,79.298,11.495,130.0,96.42,1.366,increase_rf_power,14.13,135.467,False
1,28,734.399,1.156,62.927,132.568,78.358,11.455,130.0,95.968,1.189,decrease_temperature,14.579,135.55,False
1,29,734.863,1.1421,63.399,134.087,78.747,11.56,130.0,96.078,1.168,increase_carrier_flow,14.716,135.863,False
1,30,735.496,1.1397,65.492,136.447,79.711,11.331,130.0,96.81,1.276,increase_carrier_flow,15.531,135.622,False
1,31,736.456,1.0961,66.419,137.128,76.935,11.19,130.0,95.835,1.296,decrease_rf_power,13.434,135.64,False
1,32,736.249,1.0898,66.572,139.336,70.518,11.119,130.0,95.795,1.341,decrease_rf_power,13.107,135.507,False
1,33,732.736,1.098,68.299,137.035,72.678,11.02,130.0,94.938,1.281,decrease_temperature,11.445,136.081,False
1,34,735.336,1.1125,70.032,138.801,73.776,11.543,130.0,96.175,1.339,increase_temperature,13.198,136.329,False
1,35,735.469,1.0951,71.021,137.034,75.732,11.486,130.0,96.145,1.512,increase_rf_power,11.625,136.512,False
1,36,736.931,1.0558,70.954,135.276,74.436,11.94,130.0,95.067,1.333,decrease_carrier_flow,11.032,136.244,False
1,37,736.996,1.0254,70.283,135.744,77.324,12.122,130.0,95.819,1.399,increase_rf_power,12.5,135.557,False
1,38,737.824,1.0658,68.22,134.857,78.801,11.648,130.0,96.028,1.427,decrease_precursor_flow,12.423,136.003,False
1,39,736.682,1.0861,69.288,135.206,79.387,11.729,130.0,95.676,1.329,decrease_temperature,12.571,135.902,False
2,0,743.614,1.4242,49.381,102.582,129.198,12.178,7.61,97.952,1.327,observe,4.175,11.022,False
2,1,739.607,1.4643,48.923,102.743,132.472,11.697,11.022,95.107,1.251,decrease_temperature,-0.7,14.238,False
2,2,740.486,1.4775,49.2,100.624,126.697,11.713,14.238,96.639,1.341,decrease_rf_power,1.811,17.493,False
2,3,740.763,1.4965,49.429,101.419,124.935,11.659,17.493,96.932,1.247,decrease_rf_power,3.358,20.734,False
2,4,741.805,1.4898,49.311,102.664,119.952,11.27,20.734,94.862,1.203,decrease_rf_power,-0.152,23.659,False
2,5,743.304,1.4827,49.509,104.297,123.271,11.25,23.659,96.504,1.239,increase_rf_power,3.116,26.766,False
2,6,742.115,1.4457,48.621,103.76,125.28,11.766,26.766,96.682,1.217,increase_rf_power,3.895,29.89,False
